순번	광역단체	기초단체	토건예산(2009년)	토건예산(2012년)	토건예산증감(p)	복지예산(2009년)	복지예산(2012년)	복지예산증감(p)	자살자수(2012년, 10만명 당 연령표준화)
155	충남	금산군	47.46	40.45	-7.01	14.6	16.9	2.3	42.4
156	충남	부여군	43.65	38.70	-4.95	17.7	16.5	-1.2	24.5
157	충남	서천군	50.95	38.27	-12.68	15.6	18.2	2.6	25.8
158	충남	청양군	55.40	49.24	-6.16	9.6	10.2	0.6	39.6
159	충남	홍성군	45.60	37.46	-8.14	18.0	15.7	-2.3	30.7
160	충남	예산군	45.26	39.14	-6.12	16.1	15.4	-0.7	36.4
161	충남	태안군	51.40	43.17	-8.23	12.5	12.2	-0.3	27.3
162	전북	본청	7.40	5.56	-1.84	33.0	30.5	-2.5	25.1
163	전북	전주시	33.25	22.73	-10.52	28.2	30.2	2.0	21.5
164	전북	군산시	39.17	38.05	-1.12	23.7	22.7	-1.0	28.1
165	전북	익산시	33.60	17.60	-16.00	23.8	26.2	2.4	28.7
166	전북	정읍시	61.01	35.11	-25.90	23.5	20.1	-3.4	26
167	전북	남원시	43.72	35.47	-8.25	18.6	20.0	1.4	30.8
168	전북	김제시	31.95	34.85	2.90	19.5	18.8	-0.7	27.4
169	전북	완주군	50.75	51.48	0.73	18.3	15.6	-2.7	18.8
170	전북	진안군	55.06	47.39	-7.67	11.7	12.1	0.4	18
171	전북	무주군	57.74	46.84	-10.90	10.7	11.6	0.9	20.4
172	전북	장수군	55.82	40.09	-15.73	12.4	12.0	-0.4	48.5
173	전북	임실군	61.84	50.78	-11.06	8.7	12.2	3.5	34.2
174	전북	순창군	54.08	39.13	-14.95	11.5	13.6	2.1	24.1
175	전북	고창군	51.50	43.47	-8.03	13.1	12.4	-0.7	22.6
176	전북	부안군	46.90	40.93	-5.97	13.8	13.3	-0.5	24.9
177	전남	본청	9.04	9.69	0.65	26.8	23.1	-3.7	25.8
178	전남	목포시	37.98	26.59	-11.39	25.9	31.5	5.6	25.9
179	전남	여수시	56.05	43.93	-12.12	16.3	17.6	1.3	22.1
180	전남	순천시	52.11	31.10	-21.01	18.1	19.3	1.2	20.6
181	전남	나주시	46.40	35.48	-10.92	16.6	17.4	0.8	44.5
182	전남	광양시	45.81	38.70	-7.11	16.0	18.2	2.2	27.3
183	전남	담양군	52.99	44.96	-8.03	13.7	14.2	0.5	27.3
184	전남	곡성군	55.44	40.36	-15.08	11.5	13.0	1.5	36.4
185	전남	구례군	55.06	49.75	-5.31	11.8	11.8	0.0	25.9
186	전남	고흥군	55.92	44.64	-11.28	14.0	15.1	1.1	32.6
187	전남	보성군	54.05	48.12	-5.93	12.0	13.6	1.6	26
188	전남	화순군	46.97	40.27	-6.70	14.2	13.2	-1.0	24.6
189	전남	장흥군	47.85	39.17	-8.68	12.7	13.9	1.2	15.7
